iter	Logloss
0	0.6708142527
1	0.6532238041
2	0.6382964984
3	0.6240444131
4	0.611830298
5	0.6011403205
6	0.5916457578
7	0.5826837655
8	0.5748301505
9	0.5680027703
10	0.5621622678
11	0.5568392855
12	0.5526548937
13	0.5484404887
14	0.5446027675
15	0.5408406052
16	0.5376764319
17	0.5349764889
18	0.5321317185
19	0.5299032725
20	0.5280515674
21	0.526065751
22	0.5244505415
23	0.5227843936
24	0.5216057182
25	0.5200168747
26	0.5185574602
27	0.5175030883
28	0.5163957759
29	0.5154095698
30	0.514469444
31	0.5137599599
32	0.5131511956
33	0.5124683579
34	0.5118203727
35	0.5112983013
36	0.5106593347
37	0.5098337351
38	0.5094599749
39	0.5089268078
40	0.5085869332
41	0.5082973196
42	0.5079403354
43	0.5075261005
44	0.5070694646
45	0.5067740512
46	0.5063225248
47	0.5059656014
48	0.5056499005
49	0.505232927
50	0.504972445
51	0.504808755
52	0.5045647418
53	0.5044145053
54	0.5041896812
55	0.503944239
56	0.5037381745
57	0.5035423309
58	0.5032330213
59	0.5029023944
60	0.5025739179
61	0.5023752939
62	0.5021677136
63	0.5020245707
64	0.5019107965
65	0.5017305224
66	0.5015341434
67	0.5014021485
68	0.501267982
69	0.5011411861
70	0.5010192101
71	0.5008890128
72	0.5007499805
73	0.5005291799
74	0.5004058223
75	0.5002538367
76	0.5000959227
77	0.4999478021
78	0.49982045
79	0.499717951
80	0.4996347856
81	0.4995076892
82	0.4994195242
83	0.4993104758
84	0.4992367134
85	0.4991401979
86	0.4990661526
87	0.4989406105
88	0.4988050999
89	0.4986319227
90	0.4985442929
91	0.4983512889
92	0.4981985351
93	0.4980807118
94	0.4979797734
95	0.49786857
96	0.4977651988
97	0.4976626175
98	0.4975502354
99	0.4974801903
100	0.4973931629
101	0.4972912008
102	0.4971982034
103	0.4971016472
104	0.4970291545
105	0.4969460494
106	0.4968849033
107	0.4968170647
108	0.4967485673
109	0.4966618726
110	0.4965798702
111	0.4964979121
112	0.4963842738
113	0.4963133776
114	0.4961873828
115	0.4960787584
116	0.4959532332
117	0.4958874206
118	0.4958051849
119	0.4957310964
120	0.4956638113
121	0.4955808241
122	0.4954978217
123	0.4954319192
124	0.495357077
125	0.4952737852
126	0.4951847121
127	0.49509669
128	0.4949940371
129	0.4948598201
130	0.4947825613
131	0.4947222322
132	0.4946574961
133	0.4945783967
134	0.4945083801
135	0.4944453241
136	0.4943807941
137	0.4943029698
138	0.4942373435
139	0.4941814558
140	0.4941190111
141	0.4940123577
142	0.4939300347
143	0.4938620687
144	0.4937709348
145	0.4937106056
146	0.4936170865
147	0.4935524632
148	0.4934736969
149	0.4933721887
150	0.4932849614
151	0.4931843126
152	0.4931097935
153	0.4930145355
154	0.4929097363
155	0.4928309684
156	0.4927497362
157	0.4926769028
158	0.4926014244
159	0.4925198212
