iter	Passed	Remaining
0	10	1661
1	16	1293
2	21	1148
3	27	1053
4	32	1014
5	38	992
6	44	962
7	49	933
8	54	912
9	59	895
10	65	880
11	70	869
12	76	865
13	82	855
14	87	847
15	93	837
16	98	828
17	103	820
18	109	811
19	114	802
20	120	798
21	125	789
22	131	784
23	136	775
24	142	770
25	147	761
26	153	753
27	159	751
28	165	749
29	171	744
30	177	736
31	182	731
32	188	725
33	194	722
34	200	716
35	206	712
36	212	705
37	217	697
38	223	693
39	229	687
40	234	681
41	241	677
42	247	672
43	253	668
44	259	662
45	265	658
46	271	653
47	277	647
48	283	642
49	289	636
50	295	631
51	301	625
52	306	618
53	312	612
54	317	606
55	323	600
56	329	595
57	335	590
58	341	584
59	347	578
60	352	572
61	358	566
62	364	560
63	369	554
64	375	548
65	381	543
66	387	537
67	393	532
68	398	525
69	404	520
70	410	514
71	415	507
72	421	501
73	426	495
74	432	489
75	438	484
76	443	478
77	449	472
78	455	466
79	461	461
80	467	455
81	473	449
82	478	444
83	484	438
84	490	432
85	495	426
86	501	420
87	507	415
88	513	409
89	518	403
90	524	398
91	530	392
92	536	386
93	542	380
94	548	375
95	554	369
96	560	363
97	566	358
98	571	352
99	577	346
100	583	340
101	588	334
102	594	328
103	600	323
104	605	317
105	610	311
106	616	305
107	621	299
108	627	293
109	633	287
110	638	282
111	644	276
112	650	270
113	657	265
114	663	259
115	670	254
116	676	248
117	683	243
118	688	237
119	694	231
120	700	225
121	706	220
122	712	214
123	718	208
124	724	202
125	732	197
126	737	191
127	742	185
128	748	179
129	755	174
130	760	168
131	766	162
132	772	156
133	777	150
134	782	144
135	787	139
136	792	133
137	798	127
138	804	121
139	809	115
140	814	109
141	820	104
142	826	98
143	831	92
144	836	86
145	842	80
146	847	74
147	852	69
148	858	63
149	863	57
150	868	51
151	873	45
152	879	40
153	884	34
154	890	28
155	895	22
156	900	17
157	906	11
158	912	5
159	917	0
