,feature,combined_importance,xgb_shap,cat_shap,lgb_shap,mlp_perm,xgb_rank,cat_rank,lgb_rank,mlp_rank
1,mkt_spread,0.16016007267112758,2.7116024,3.192347950584143,2.4081785598566374,0.2671316385269165,2,1,2,1
2,elo_diff,0.08106030747636697,3.1147113,1.4804789414069641,3.0635081728713756,0.029484760761260987,1,2,1,3
3,neutral_em_diff,0.045810879754314006,1.366917,1.023455648652108,1.3064476385456676,0.00754554271697998,3,3,3,135
4,has_mkt,0.03581042837696187,0.59238434,0.652484049253895,0.480320262785708,0.07606086730957032,5,5,6,2
5,matchup_orb,0.03445666616180135,1.008689,0.7265138499547855,1.02476713806706,0.013319361209869384,4,4,4,59
6,ref_home_whistle,0.02425997138817818,0.54340994,0.5246128223279095,0.5311706661812893,0.020147860050201416,6,6,5,10
7,pit_sos_diff,0.022491625236678792,0.3674327,0.49746371965802694,0.4007101262600712,0.02423405647277832,7,7,7,7
8,has_ats_data,0.020097483376172138,0.32149896,0.46193928263676637,0.322056834786829,0.019883060455322267,10,8,9,12
9,crowd_pct,0.018224963694772042,0.34087405,0.39072270404879694,0.36433728124728376,0.019247663021087647,8,9,8,14
10,roll_garbage_diff,0.016664847897782352,0.3063176,0.33027912247055385,0.2891173591691245,0.0256888747215271,11,11,11,5
11,mkt_total,0.01402822363268728,0.10422224,0.35215691147696715,0.1316527607200592,0.015119981765747071,38,10,25,33
12,orb_pct_diff,0.014006826671433149,0.32178384,0.24657468631971113,0.26495793195024064,0.0255434513092041,9,14,13,6
13,roll_run_diff,0.012029453663994775,0.13781552,0.2633181492910202,0.11136373486234699,0.020108401775360107,27,13,29,11
14,hca_pts,0.011807027894839494,0.23310572,0.2268926899944999,0.266725990168198,0.016252565383911132,15,15,12,23
15,roll_dominance_diff,0.01109687430939137,0.26455957,0.2159219950647646,0.22883882426052668,0.014661145210266114,13,17,14,38
16,threepct_diff,0.010835840170826797,0.20045564,0.22034741028233024,0.22348439903359862,0.013715291023254394,17,16,15,54
17,ato_diff,0.010178949393778848,0.2300189,0.2081074331038628,0.31516733140601166,0.006392276287078858,16,18,10,146
18,adj_oe_diff,0.009891932220352732,0.09160753,0.2848125373099557,0.01294059646552857,0.006375408172607422,46,12,129,147
19,season_phase,0.008981047764213797,0.14878264,0.1806079818447219,0.12996335165040412,0.014971184730529784,26,21,26,35
20,roll_ats_margin_gated,0.008615602805260731,0.1729655,0.14518340264375199,0.1785653338783112,0.016942596435546874,19,22,18,19
21,tempo_avg,0.008566649837930639,0.17691055,0.12800651910922725,0.16320831969951263,0.020931732654571534,18,27,22,9
22,roll_clutch_ft_diff,0.00836713660553098,0.16383052,0.1840847331954752,0.17155987337778333,0.007436871528625488,23,20,21,138
23,floor_diff,0.008310215224710765,0.048779167,0.20292315750885637,0.02646797096121439,0.013050472736358643,114,19,98,64
24,fatigue_x_quality,0.008202465451438946,0.15407397,0.14249606395148656,0.12114521960257466,0.017902255058288574,24,23,27,17
25,blocks_diff,0.007899221205411455,0.27219656,0.13422084901979597,0.20449973917305525,0.010461914539337158,12,25,16,99
26,twopt_diff,0.0075752508767091935,0.2445803,0.12914583205605162,0.1780657404100357,0.01124337911605835,14,26,20,89
27,opp_suppression_diff,0.0071194833559267475,0.11092493,0.1349123750336055,0.1050569644262914,0.013706731796264648,33,24,32,55
28,style_familiarity,0.006889815508189263,0.013568326,0.1023203269837404,0.0,0.026666200160980223,134,31,154,4
29,opp_adj_form_diff,0.0067854786733548035,0.102524124,0.12244143753996005,0.18880140491841665,0.010057008266448975,39,28,17,103
